ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch7.parts.0.points.7.examples.0.ja	役に立とうが立つまいが、疑問に思うことを{解明|かいめい}しようとするのが人間というものだ。
ch7.parts.0.points.7.examples.1.ja	皆が認めようが認めまいが、宇宙人は存在すると私は信じている。
ch7.parts.0.points.7.examples.2.ja	警官が見ていようがいるまいが、交通ルールは守るべきだ。
ch7.parts.0.points.7.examples.3.ja	お客が来ようと来るまいと、部屋はいつも片付けておけ。
ch7.parts.0.points.7.formNotes.0.ja	＊[V-よう]・[V-る] には同じ{動詞|どうし}が使われる。
ch7.parts.0.points.7.forms.0	[V-よう] + ［が　と］ + [V-る] + ［まいが　まいと］
ch7.parts.0.points.7.no	79
ch7.parts.0.points.7.notes.0.examples.0.ja	あの人、{暇|ひま}があろうがなかろうが、食後のコーヒーは{欠|か}かしたことがないそうですよ。
ch7.parts.0.points.7.notes.0.examples.1.ja	高かろうが安かろうが、必要なものは買わねばならない。
ch7.parts.0.points.7.notes.0.examples.2.ja	有名店だろうとそうじゃなかろうと、この地方のそばは、とにかくおいしいんですよ。
ch7.parts.0.points.7.notes.0.ja	「[V₁-よう]が／と＋[V₂-よう]が／と」「[いA₁~~い~~]かろう＋が／と＋[いA₂~~い~~]かろう＋が／と」「[N₁]／[なA₁]だろう＋が／と＋[N₂]／[なA₂]だろう＋が／と」などの形も同じように使われる。
ch7.parts.0.points.7.notesFirst	false
ch7.parts.0.points.7.pattern	〜（よ）うが〜まいが／〜（よ）うと〜まいと
ch7.parts.0.points.7.phrase	{赤字|あかじ}にな**ろうが**なる**まいが**
ch7.parts.0.points.7.practice.0.answer.0	2
ch7.parts.0.points.7.practice.0.answer.1	3
ch7.parts.0.points.7.practice.0.answer.2	0
ch7.parts.0.points.7.practice.0.answer.3	1
ch7.parts.0.points.7.practice.0.left.0	聞く人がいようがいまいが、
ch7.parts.0.points.7.practice.0.left.1	責任のある地位に{就|つ}こうが{就|つ}くまいが、
ch7.parts.0.points.7.practice.0.left.2	{桜|さくら}が咲こうが咲くまいが、
ch7.parts.0.points.7.practice.0.left.3	使おうと使うまいと、
ch7.parts.0.points.7.practice.0.prompt.ja	
ch7.parts.0.points.7.practice.0.right.0	今度の土曜はみんなで花見だ。
ch7.parts.0.points.7.practice.0.right.1	水道や電気の基本料金は払わなければなりません。
ch7.parts.0.points.7.practice.0.right.2	彼は日曜日のたびにギターを手に駅前で歌い続けた。
ch7.parts.0.points.7.practice.0.right.3	自分の仕事は{誠意|せいい}をもってやらなければならない。
ch7.parts.0.points.7.practice.0.type	match
ch7.parts.0.points.7.stars	3
ch7.parts.0.points.7.usage.ja	「A（よ）うがAまいが」は「AてもAなくても」という意味で、「{田中|たなか}さんが行こうが行くまいが、私は行くつもりだ」のように、{影響|えいきょう}を受けない強い気持ちや、「信じようが信じまいが、これは本当にあった話です」のように変えられない事実があると言いたいときに使われる。
ch7.parts.0.points.8.examples.0.ja	A：課長、今月いっぱいで会社を辞めさせていただきたいんですが……。
B：会社を辞めるなら辞めるで、今の仕事をちゃんと片付けてからにしてくれ。
ch7.parts.0.points.8.examples.1.ja	仕事が忙しいなら忙しいで、{誰|だれ}かに手伝ってもらうとか、断るとか、何か方法を考えたほうがいいですよ。
ch7.parts.0.points.8.examples.2.ja	A：すみません。今日の飲み会、やっぱり行けなくなってしまって……。
B：来られないなら来られないで、早く連絡してくれればよかったのに……。もう予約取り消しできないんだよ。
ch7.parts.0.points.8.examples.3.ja	A：まだ結婚なんて早いと思うんだけど、無理やりお{見合|みあ}いさせられることになっちゃって……。
B：{嫌|いや}なら{嫌|いや}で、はっきり言えばよかったのに……。
ch7.parts.0.points.8.examples.4.ja	病気なら病気で、おとなしく寝てなきゃだめじゃない。
ch7.parts.0.points.8.formNotes.0.ja	＊[Pl₁]・[Pl₂] には同じ言葉が使われる。
ch7.parts.0.points.8.forms.0	[Pl₁] + なら + [Pl₂] + で
［現在形のみ］　［現在形のみ］
［[なA~~だ~~]　[N~~だ~~]］［[なA~~だ~~]　[N~~だ~~]］
ch7.parts.0.points.8.no	80
ch7.parts.0.points.8.pattern	〜なら〜で
ch7.parts.0.points.8.phrase	安くしてほしい**なら**ほしい**で**
ch7.parts.0.points.8.practice.0.items.0.answer	0
ch7.parts.0.points.8.practice.0.items.0.options.0	相談してくれればもっと安く買えたのに……
ch7.parts.0.points.8.practice.0.items.0.options.1	相談したから安く買えてよかった
ch7.parts.0.points.8.practice.0.items.0.q	新しいパソコンを買うなら買うで、（　）。
ch7.parts.0.points.8.practice.0.items.1.answer	1
ch7.parts.0.points.8.practice.0.items.1.options.0	相手の名前も{用件|ようけん}も忘れていました
ch7.parts.0.points.8.practice.0.items.1.options.1	ちゃんとその{数|かず}をメモしておかないとだめじゃないか
ch7.parts.0.points.8.practice.0.items.1.q	注文を受けるなら受けるで、（　）。
ch7.parts.0.points.8.practice.0.items.2.answer	0
ch7.parts.0.points.8.practice.0.items.2.options.0	お世話になった皆さんにきちんと{挨拶|あいさつ}してから帰りなさい
ch7.parts.0.points.8.practice.0.items.2.options.1	お世話になった皆さんに{挨拶|あいさつ}できてよかった
ch7.parts.0.points.8.practice.0.items.2.q	帰国するなら帰国するで、（　）。
ch7.parts.0.points.8.practice.0.prompt.ja	
ch7.parts.0.points.8.practice.0.type	choice
ch7.parts.0.points.8.stars	2
ch7.parts.0.points.8.usage.ja	「AならAで…」は「来るなら来るで連絡してくれれば食事ぐらい用意しておいたのに」のように、他の人のAという状況に対する気持ち（…）を表す。アドバイスしたり不満を言ったりするときに使われることが多い。
ch7.parts.0.points.9.examples.0.ja	おにぎりを作るのは簡単だと思うかもしれませんが、作ったことがない人にすれば、{結|けっ}{構|こう}難しいことなんですよ。
ch7.parts.0.points.9.examples.1.ja	どんな{判決|はんけつ}が出ても、被害者にしたら、{納得|なっとく}できるものではないだろう。
ch7.parts.0.points.9.examples.2.ja	人員{削減|さくげん}は会社側にしてもメリットばかりとは言えまい。
ch7.parts.0.points.9.forms.0	[N] + にすれば
ch7.parts.0.points.9.forms.1	[N] + にしたら
ch7.parts.0.points.9.forms.2	[N] + にしても
ch7.parts.0.points.9.no	81
ch7.parts.0.points.9.pattern	〜にすれば／〜にしたら／〜にしても
ch7.parts.0.points.9.phrase	相手**にすれば**
ch7.parts.0.points.9.plus.0.examples.0.ja	私のような考え方は若い人にしてみれば、古いと思われるでしょう。
ch7.parts.0.points.9.plus.0.examples.1.ja	「Ｒ」と「Ｌ」の発音は、英語が苦手な私にしてみれば同じ音としか思えない。
ch7.parts.0.points.9.plus.0.pattern	〜にしてみれば
ch7.parts.0.points.9.plus.0.stars	2
ch7.parts.0.points.9.plus.0.usage.ja	「[N] + にしてみれば」も同じように使われる。
ch7.parts.0.points.9.practice.0.items.0.answer	0
ch7.parts.0.points.9.practice.0.items.0.options.0	{迷惑|めいわく}なのではないだろうか
ch7.parts.0.points.9.practice.0.items.0.options.1	私はとてもかわいいと思う
ch7.parts.0.points.9.practice.0.items.0.q	最近ペットに服を着せるのが{流行|はや}っているが、ペットにしたら（　）。
ch7.parts.0.points.9.practice.0.items.1.answer	0
ch7.parts.0.points.9.practice.0.items.1.options.0	二度と手に入らない宝物なのだ
ch7.parts.0.points.9.practice.0.items.1.options.1	いくらで売れるか{検討|けんとう}してみよう
ch7.parts.0.points.9.practice.0.items.1.q	母親はよく古い雑誌やおもちゃなどを捨てろというが、子どもにすれば（　）。
ch7.parts.0.points.9.practice.0.items.2.answer	1
ch7.parts.0.points.9.practice.0.items.2.options.0	漢字はたくさん書いて覚えてください
ch7.parts.0.points.9.practice.0.items.2.options.1	漢字を書くのは難しいんです
ch7.parts.0.points.9.practice.0.items.2.q	最近は字を書くことが少なくなったので、外国人だけでなく、日本人にしても（　）。
ch7.parts.0.points.9.practice.0.prompt.ja	
ch7.parts.0.points.9.practice.0.type	choice
ch7.parts.0.points.9.stars	2
ch7.parts.0.points.9.usage.ja	「〜にすれば」は「〜の立場で考えれば」という意味で、他の人の考えを想像して言うときに使うことが多い。
ch7.parts.0.points.10.examples.0.ja	地下鉄が止まっていたら、バスで行くまでのことだ。心配はいらないよ。
ch7.parts.0.points.10.examples.1.ja	ホテルが見つからなければ、ネットカフェかカラオケで{一晩|ひとばん}過ごすまでのことだ。
ch7.parts.0.points.10.examples.2.ja	息子も娘も{継|つ}ぐ気がないなら、工場は閉めるまでだ。
ch7.parts.0.points.10.forms.0	[V-る] + までのことだ
ch7.parts.0.points.10.forms.1	[V-る] + までだ
ch7.parts.0.points.10.no	82
ch7.parts.0.points.10.pattern	〜までのことだ／〜までだ
ch7.parts.0.points.10.phrase	あきらめる**までのことだ**
ch7.parts.0.points.10.practice.0.items.0.answer	1
ch7.parts.0.points.10.practice.0.items.0.options.0	返してくれなくても、{裁判|さいばん}に{訴|うった}えることはない。
ch7.parts.0.points.10.practice.0.items.0.options.1	返してくれなければ、{裁判|さいばん}に{訴|うった}えればいい。
ch7.parts.0.points.10.practice.0.items.0.options.2	返してくれても、{裁判|さいばん}に{訴|うった}えるつもりだ。
ch7.parts.0.points.10.practice.0.items.0.q	貸したお金を返してくれなければ、{裁判|さいばん}に{訴|うった}えるまでのことだ。
ch7.parts.0.points.10.practice.0.items.1.answer	0
ch7.parts.0.points.10.practice.0.items.1.options.0	{壊|こわ}れていても、買えばいいから困らない。
ch7.parts.0.points.10.practice.0.items.1.options.1	{壊|こわ}れているかどうか、とても心配している。
ch7.parts.0.points.10.practice.0.items.1.options.2	{壊|こわ}れているが、新しいのを買うまで{我慢|がまん}する。
ch7.parts.0.points.10.practice.0.items.1.q	{壊|こわ}れているなら、新しいのを買うまでだ。
ch7.parts.0.points.10.practice.0.prompt.ja	
ch7.parts.0.points.10.practice.0.type	choice
ch7.parts.0.points.10.stars	2
ch7.parts.0.points.10.usage.ja	「〜までのことだ」は「事業に失敗したら、またやり直すまでのことだ」のように「だめなら〜すればいいのだから、それは大きな問題ではない」と言いたいときに使われる。何でもいいと言いながら、本当はそれを気にしているときに使われることも多い。自分について使うことが多い。
ch7.parts.0.points.10.xref	☞ 93. 当たり前のことをしてき**たまでのことである**
ch7.parts.0.sample.lines	[部長]{本田|ほんだ}君、子どものお{遣|つか}い**じゃあるまいし**、カタログだけ置いて帰ってくる{奴|やつ}があるか。[{本田|ほんだ}]すみません。[部長]それじゃ、{商談|しょうだん}はどうでもいいと言わ**んばかり**じゃないか。ぐずぐずしているうちにライバル社に{先|さき}を{越|こ}され**たらそれまでだ**ぞ。[{本田|ほんだ}]わかってますよ。でも……。[部長]{先方|せんぽう}から問い合わせがあったんだぞ。うちの商品の良さをわかってもらえる{絶好|ぜっこう}のチャンスだった**ものを**……。[{本田|ほんだ}]はあ。でも、あちらの担当者**ときたら**、価格のことしか言わないんです。だから説明し**たところで**{無駄|むだ}だと思ったんですよ。[部長]相手が何を言**おうが**、気にしないで、{我|わ}が{社|しゃ}の技術をどんどん{宣伝|せんでん}しなきゃだめじゃないか。[{本田|ほんだ}]でも、部長。「毎年新製品が出るんだから、今年は新製品でも来年は古くなる。だから1年ごとにリース料を10%ずつ安くしろ。」と言われたんです。こちらが{赤字|あかじ}にな**ろうが**なる**まいが**、自分の会社さえよければいいんですよ。安くしてほしい**なら**ほしい**で**、{納得|なっとく}できる条件を{提示|ていじ}すべきですよね。[部長]う〜ん、すごい担当者だな。相手**にすれば**、{経費|けいひ}は安ければ安いほどいいわけだからなあ。仕方がない。あちらの条件を聞いてみるか。{採算|さいさん}が取れなければあきらめる**までのことだ**が……。
とにかく、次は私も{同行|どうこう}するからな。[{本田|ほんだ}]はい。
ch7.parts.1.canDo.0.ja	仕事の結果について、{振|ふ}り返りながら社内で話ができる。
ch7.parts.1.check.bank.0	ったらありゃしない
ch7.parts.1.check.bank.1	まくった
ch7.parts.1.check.bank.2	にしたところで
ch7.parts.1.check.bank.3	みせます
ch7.parts.1.check.bank.4	ようにも
ch7.parts.1.check.items.0.answer	にしたところで
ch7.parts.1.check.items.0.q	{新入|しんにゅう}社員は物を知らないというが、君たち＿＿{大|たい}して変わりはないよ。
ch7.parts.1.check.items.1.answer	まくった
ch7.parts.1.check.items.1.q	{佐藤|さとう}さん、バーゲンセールで好きなブランドの洋服を買い＿＿んだって。
ch7.parts.1.check.items.2.answer	ようにも
ch7.parts.1.check.items.2.q	ネット環境がないから、調べ＿＿調べられないんだよ。
ch7.parts.1.check.items.3.answer	ったらありゃしない
ch7.parts.1.check.items.3.q	A：駅の階段で転んじゃったんだって？
B：うん。みんなに見られて恥ずかしい＿＿よ。
ch7.parts.1.check.items.4.answer	みせます
ch7.parts.1.check.items.4.q	{僕|ぼく}たち1年生が{頑張|がんば}って、来年は優勝できるチームを作りあげて＿＿。
ch7.parts.1.check.prompt.ja	
ch7.parts.1.check.type	fill
ch7.parts.1.label	(2)
ch7.parts.1.points.0.examples.0.ja	今年の夏は暑いといったらない。早く秋になってほしいよ。
ch7.parts.1.points.0.examples.1.ja	社長の新年の{挨拶|あいさつ}は、{退屈|たいくつ}なことといったらないな。
ch7.parts.1.points.0.examples.2.ja	弟にカードゲームで負けるなんて、{悔|くや}しいったらありゃしない。
ch7.parts.1.points.0.examples.3.ja	家の前に毎朝たばこの{吸|す}い{殻|がら}を捨てられて、腹が立つったらない。
ch7.parts.1.points.0.examples.4.ja	A：猫が{迷子|まいご}になって一週間{捜|さが}し回ったんだ。やっと見つかったときの{嬉|うれ}しさといったら！
B：ほんと、よかったね。
ch7.parts.1.points.0.formNotes.0.ja	＊{動詞|どうし}は「腹が立つ・疲れる・イライラする」などの感情を表す{動詞|どうし}、{名詞|めいし}は「喜び・{衝撃|しょうげき}・ショック」などや「{悲惨|ひさん}さ・忙しさ」など{形容詞|けいようし}が{名詞化|めいしか}されたものが使われる。
ch7.parts.1.points.0.forms.0	[いA]／[なA]（だ）／[N]（だ）／[V-る] + といったらない／ったらない
ch7.parts.1.points.0.forms.1	[いA]／[なA]（だ）／[N]（だ）／[V-る] + といったらありゃしない／ったらありゃしない
ch7.parts.1.points.0.forms.2	[いA]／[なA] な + こと + といったらない／ったらない
ch7.parts.1.points.0.forms.3	[いA]／[なA] な + こと + といったらありゃしない／ったらありゃしない
ch7.parts.1.points.0.marks.0	casual
ch7.parts.1.points.0.no	83
ch7.parts.1.points.0.pattern	〜といったらない／〜といったらありゃしない
ch7.parts.1.points.0.phrase	{悔|くや}しい**といったらない**
ch7.parts.1.points.0.practice.0.items.0.answer	2
ch7.parts.1.points.0.practice.0.items.0.options.0	たいして感動するほどではなかった。
ch7.parts.1.points.0.practice.0.items.0.options.1	まったく感動できなかった。
ch7.parts.1.points.0.practice.0.items.0.options.2	非常に感動した。
ch7.parts.1.points.0.practice.0.items.0.q	試合で初めて優勝したときの感動といったらなかった。
ch7.parts.1.points.0.practice.0.items.1.answer	1
ch7.parts.1.points.0.practice.0.items.1.options.0	{紅葉|こうよう}は美しいに決まっている。
ch7.parts.1.points.0.practice.0.items.1.options.1	{紅葉|こうよう}が言葉で言い表せないほど美しい。
ch7.parts.1.points.0.practice.0.items.1.options.2	{紅葉|こうよう}といっても美しいとは限らない。
ch7.parts.1.points.0.practice.0.items.1.q	{眼下|がんか}に広がる{紅葉|こうよう}の美しいことといったらないね。
ch7.parts.1.points.0.practice.0.prompt.ja	
ch7.parts.1.points.0.practice.0.type	choice
ch7.parts.1.points.0.stars	2
ch7.parts.1.points.0.usage.ja	「〜といったらない／ありゃしない」は「言葉では言えないほど非常に〜だ」と強調して言いたいときに使われる。「ない」「ありゃしない」の部分は省略されることもある。
ch7.parts.1.points.1.examples.0.ja	スピーチ大会での{大失敗|だいしっぱい}は、忘れようにも忘れられない。
ch7.parts.1.points.1.examples.1.ja	成績が悪いので、{奨学金|しょうがくきん}に{応募|おうぼ}しようにも{応募|おうぼ}できない。
ch7.parts.1.points.1.examples.2.ja	彼女に{告白|こくはく}しようにも、チャンスがなくてなかなかできない。
ch7.parts.1.points.1.examples.3.ja	{真実|しんじつ}を確かめようにも、犯人は死亡しているので不可能だ。
ch7.parts.1.points.1.formNotes.0.ja	＊[V-よう]・[V-できない] には同じ{動詞|どうし}が使われる。
ch7.parts.1.points.1.formNotes.1.ja	＊[V-できない] に「無理だ・不可能だ」など「できない」という意味を持つ言葉が使われることもある。
ch7.parts.1.points.1.forms.0	[V-よう] + にも + [V-できない]
ch7.parts.1.points.1.no	84
ch7.parts.1.points.1.notes.0.examples.0.ja	お金がないから、引っ{越|こ}そうにも引っ{越|こ}せない。
ch7.parts.1.points.1.notes.0.examples.1.ja	大家さんに親切にしてもらっているから、引っ{越|こ}すに引っ{越|こ}せない。
ch7.parts.1.points.1.notes.0.examples.2.ja	電車が止まって、帰ろうにも帰れない。
ch7.parts.1.points.1.notes.0.examples.3.ja	{先輩|せんぱい}が残業しているから、帰るに帰れない。
ch7.parts.1.points.1.notes.0.ja	**「A（よ）うにもAない」と「AにAない」**
「A（よ）うにもAない」と「AにAない」はどちらも、事情があってAできないときに使われるが、物理的な理由の場合は「A（よ）うにもAない」、心情的な理由の場合は「AにAない」が使われることが多い。
ch7.parts.1.points.1.notes.0.xref	☞ 63. 辞める**に**辞められ**ない**
ch7.parts.1.points.1.notesFirst	false
ch7.parts.1.points.1.pattern	〜（よ）うにも〜ない
ch7.parts.1.points.1.phrase	{契約|けいやく}を取**ろうにも**取れ**ない**
ch7.parts.1.points.1.practice.0.items.0.answer	0
ch7.parts.1.points.1.practice.0.items.0.options.0	足が痛い
ch7.parts.1.points.1.practice.0.items.0.options.1	立つのが{嫌|いや}な
ch7.parts.1.points.1.practice.0.items.0.q	（　）ので、立とうにも立てない。
ch7.parts.1.points.1.practice.0.items.1.answer	1
ch7.parts.1.points.1.practice.0.items.1.options.0	友達が
ch7.parts.1.points.1.practice.0.items.1.options.1	知らない人が
ch7.parts.1.points.1.practice.0.items.1.q	（　）貸してくれた{傘|かさ}なので、返そうにも返せない。
ch7.parts.1.points.1.practice.0.items.2.answer	1
ch7.parts.1.points.1.practice.0.items.2.options.0	メールで{済|す}むことなので
ch7.parts.1.points.1.practice.0.items.2.options.1	{騒音|そうおん}がひどくて
ch7.parts.1.points.1.practice.0.items.2.q	（　）、話そうにも話せる状況ではなかった。
ch7.parts.1.points.1.practice.0.prompt.ja	
ch7.parts.1.points.1.practice.0.type	choice
ch7.parts.1.points.1.stars	2
ch7.parts.1.points.1.usage.ja	「A（よ）うにもAない」は「Aしたいが、ある事情のためにAできない」と言いたいときに使う。
ch7.parts.1.points.2.examples.0.ja	3時間もカラオケで歌いまくって、声が出なくなった。
ch7.parts.1.points.2.examples.1.ja	失恋したぐらいで、やけになって食べまくる{奴|やつ}の気がしれないよ。
ch7.parts.1.points.2.examples.2.ja	あいつ、車を買うって、バイトしまくってるらしいよ。
ch7.parts.1.points.2.forms.0	[V-~~ます~~] + まくる
ch7.parts.1.points.2.no	85
ch7.parts.1.points.2.pattern	〜まくる
ch7.parts.1.points.2.phrase	配り**まくって**みる
ch7.parts.1.points.2.stars	1
ch7.parts.1.points.2.usage.ja	「〜まくる」は、ある行動や動作を深く考えずに、すごい勢いで何回も{繰|く}り{返|かえ}してする様子を表す。
ch7.parts.1.points.3.examples.0.ja	{温厚|おんこう}な{田中|たなか}さんにしたところで、1時間も待たされたら、怒り出すに違いない。
ch7.parts.1.points.3.examples.1.ja	電気自動車にしたところで、環境への{負荷|ふか}が全くないわけではない。
ch7.parts.1.points.3.examples.2.ja	どんなにすばらしい小説にしたって、{出版業界|しゅっぱんぎょうかい}では売れなきゃ認められないよ。
ch7.parts.1.points.3.examples.3.ja	人間にしたところで、自然が{破壊|はかい}されれば生きられないのは{野生|やせい}動物と変わらない。
ch7.parts.1.points.3.examples.4.ja	進学か{就職|しゅうしょく}かいずれにしたって、自分で決めなければならない。
ch7.parts.1.points.3.formNotes.0.ja	＊「いずれにしたところで」「いずれにしたって」の形も使われる。
ch7.parts.1.points.3.forms.0	[N] + にしたところで
ch7.parts.1.points.3.forms.1	[N] + にしたって
ch7.parts.1.points.3.no	86
ch7.parts.1.points.3.pattern	〜にしたところで／〜にしたって
ch7.parts.1.points.3.phrase	カプテック社**にしたところで**
ch7.parts.1.points.3.practice.0.items.0.answer	0
ch7.parts.1.points.3.practice.0.items.0.options.0	ある
ch7.parts.1.points.3.practice.0.items.0.options.1	ない
ch7.parts.1.points.3.practice.0.items.0.q	先ほどのご{提案|ていあん}には反対意見を言いましたが、私にしたところで、いい解決方法が（　）わけではないんです。
ch7.parts.1.points.3.practice.0.items.1.answer	0
ch7.parts.1.points.3.practice.0.items.1.options.0	ある
ch7.parts.1.points.3.practice.0.items.1.options.1	ない
ch7.parts.1.points.3.practice.0.items.1.q	{裁判官|さいばんかん}にしたところで、人間だ。{被告|ひこく}に{同情的|どうじょうてき}になることも（　）だろう。
ch7.parts.1.points.3.practice.0.items.2.answer	1
ch7.parts.1.points.3.practice.0.items.2.options.0	ある
ch7.parts.1.points.3.practice.0.items.2.options.1	ない
ch7.parts.1.points.3.practice.0.items.2.q	{携帯|けいたい}電話なんてどこの会社にしたところで、{大|たい}した差は（　）。
ch7.parts.1.points.3.practice.0.prompt.ja	
ch7.parts.1.points.3.practice.0.type	choice
ch7.parts.1.points.3.stars	2
ch7.parts.1.points.3.usage.ja	「〜にしたところで」は「{大金持|おおがねも}ちにしたところで悩みはある」のように「他とは違うと思われている〜も、実は他と同じだ」と言いたいときに使われる。
ch7.parts.1.points.4.examples.0.ja	何年かかっても父の{無実|むじつ}を{証明|しょうめい}してみせる。
ch7.parts.1.points.4.examples.1.ja	あの{頑固|がんこ}な教授に、私のこの研究論文を絶対に認めさせてみせる。
ch7.parts.1.points.4.examples.2.ja	どんなにリハビリが大変でも、{頑張|がんば}って必ず{復帰|ふっき}してみせます。ファンの皆さん、待っていてください。
ch7.parts.1.points.4.examples.3.ja	どんな苦労をしてでも、彼女を絶対に幸せにしてみせます。
ch7.parts.1.points.4.forms.0	[V-て] + みせる
ch7.parts.1.points.4.no	87
ch7.parts.1.points.4.pattern	〜てみせる
ch7.parts.1.points.4.phrase	{契約|けいやく}を取っ**てみせます**
ch7.parts.1.points.4.stars	1
ch7.parts.1.points.4.usage.ja	「〜てみせる」は「（自分を認めてもらうために）{頑張|がんば}って〜しよう」という強い{決意|けつい}を表す。
ch7.parts.1.sample.lines	[部長]{悔|くや}しい**といったらない**な。たった{半日|はんにち}の差でライバル社に{契約|けいやく}を持っていかれるとは。[{本田|ほんだ}]すみません、部長。{僕|ぼく}があのとき商品の説明をしっかりしていれば……。[部長]いや、君のせいじゃないよ。アポが取れなかったんだから、{契約|けいやく}を取**ろうにも**取れ**ない**じゃないか。[{本田|ほんだ}]でも、ほんとに{悔|くや}しいっす※。[部長]こうなったら{片|かた}っ{端|ぱし}からパンフレットを配り**まくって**みるか。[{本田|ほんだ}]そうですね。カプテック社**にしたところで**あの条件では、そんなに{儲|もう}かるはずないですよね。毎年リース料を下げ続けるなんて。[部長]そうだよ。{契約|けいやく}しなくて{正解|せいかい}だったんだよ。どんな条件で{契約|けいやく}したか知らないが、{仮|かり}に本当に10%ずつ下げ続けたら……。[{本田|ほんだ}]10年後はリース料ただですよ。カプテック社も{馬鹿|ばか}だな。ははははははは。元気出てきた。部長、{僕|ぼく}、次こそいい条件で{契約|けいやく}を取っ**てみせます**よ。[部長]さすが{本田|ほんだ}君だ。{立|た}ち{直|なお}りが早いね。※っす：一部の若い男性の話し言葉で、「です・ます」を短くした{特殊|とくしゅ}な言い方。普通形につく。
ch7.review.0.ex.items.0.answer	1
ch7.review.0.ex.items.0.options.0	したところへ
ch7.review.0.ex.items.0.options.1	したところで
ch7.review.0.ex.items.0.options.2	にしたところで
ch7.review.0.ex.items.0.options.3	にしたら
ch7.review.0.ex.items.0.q	いくら言い{訳|わけ}（　）、失った信頼はなかなか取り戻せない。
ch7.review.0.ex.items.1.answer	3
ch7.review.0.ex.items.1.options.0	しまつだ
ch7.review.0.ex.items.1.options.1	ものを
ch7.review.0.ex.items.1.options.2	といったらない
ch7.review.0.ex.items.1.options.3	までだ
ch7.review.0.ex.items.1.q	いざとなったら、この土地を売って借金を返す（　）。
ch7.review.0.ex.items.2.answer	1
ch7.review.0.ex.items.2.options.0	にすれば
ch7.review.0.ex.items.2.options.1	にしたところで
ch7.review.0.ex.items.2.options.2	に{先立|さきだ}って
ch7.review.0.ex.items.2.options.3	に対して
ch7.review.0.ex.items.2.q	運動は健康{維持|いじ}に{欠|か}かせない。{高齢者|こうれいしゃ}に限らず、{若者|わかもの}（　）同じことだ。
ch7.review.0.ex.items.3.answer	0
ch7.review.0.ex.items.3.options.0	見ようと見るまいと
ch7.review.0.ex.items.3.options.1	見るなり聞くなり
ch7.review.0.ex.items.3.options.2	見れば見るほど
ch7.review.0.ex.items.3.options.3	見るやら聞くやら
ch7.review.0.ex.items.3.q	{山桜|やまざくら}は人が（　）、春になれば咲くということを{繰|く}り{返|かえ}してきた。
ch7.review.0.ex.items.4.answer	3
ch7.review.0.ex.items.4.options.0	わけにはいかないのに
ch7.review.0.ex.items.4.options.1	わりには
ch7.review.0.ex.items.4.options.2	わけもなかったのに
ch7.review.0.ex.items.4.options.3	わけじゃあるまいし
ch7.review.0.ex.items.4.q	VIPが{訪|おとず}れる（　）、留学生がホームステイに来るくらいで、{大騒|おおさわ}ぎするなよ。
ch7.review.0.ex.items.5.answer	2
ch7.review.0.ex.items.5.options.0	ものだ
ch7.review.0.ex.items.5.options.1	ものではない
ch7.review.0.ex.items.5.options.2	ものを
ch7.review.0.ex.items.5.options.3	ものか
ch7.review.0.ex.items.5.q	A：カラオケ発明した人、{特許|とっきょ}取らなかったんだって？
B：{特許|とっきょ}を取っていれば、{大儲|おおもう}けできた（　）。
ch7.review.0.ex.items.6.answer	2
ch7.review.0.ex.items.6.options.0	にすれば
ch7.review.0.ex.items.6.options.1	にしたところで
ch7.review.0.ex.items.6.options.2	ときたら
ch7.review.0.ex.items.6.options.3	といっても
ch7.review.0.ex.items.6.q	トミーさん（　）、勝手に{冷房|れいぼう}の{設定|せってい}温度を13度にしちゃうんです。クラスメートはみんな、寒がっているのに……。
ch7.review.0.ex.items.7.answer	2
ch7.review.0.ex.items.7.options.0	とは言い切れない
ch7.review.0.ex.items.7.options.1	というものでもない
ch7.review.0.ex.items.7.options.2	といったらない
ch7.review.0.ex.items.7.options.3	というに決まっている
ch7.review.0.ex.items.7.q	電車の中でお年寄りが立っていても、周りの{若者|わかもの}はそれを{無視|むし}してゲームや{携帯|けいたい}に夢中だ。{嘆|なげ}かわしい（　）。
ch7.review.0.ex.prompt.ja	次の文の（　）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
ch7.review.0.ex.type	choice
ch7.review.0.title.ja	問題1 〈文法形式の判断〉
ch7.review.1.ex.items.0.after	、事件が解決できるわけがない。
ch7.review.1.ex.items.0.before	テレビドラマの
ch7.review.1.ex.items.0.order.0	1
ch7.review.1.ex.items.0.order.1	0
ch7.review.1.ex.items.0.order.2	3
ch7.review.1.ex.items.0.order.3	2
ch7.review.1.ex.items.0.pieces.0	ではあるまいし
ch7.review.1.ex.items.0.pieces.1	{刑事|けいじ}
ch7.review.1.ex.items.0.pieces.2	足らずで
ch7.review.1.ex.items.0.pieces.3	1時間
ch7.review.1.ex.items.0.star	2
ch7.review.1.ex.items.1.after	よ。心配しないで。
ch7.review.1.ex.items.1.before	A：{就職|しゅうしょく}まだ決まってないの？　まただめだったらどうする気？
B：だめなら、
ch7.review.1.ex.items.1.order.0	1
ch7.review.1.ex.items.1.order.1	2
ch7.review.1.ex.items.1.order.2	3
ch7.review.1.ex.items.1.order.3	0
ch7.review.1.ex.items.1.pieces.0	までのことだ
